Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2012-02-21,5561.9,5621.5,5561.75,5607.15,231132126,19.64,,,,
2012-02-22,5609.75,5629.95,5491.35,5505.35,263013427,19.29,,,,
2012-02-23,5490.05,5537.4,5460.8,5483.3,307246519,19.21,,,,
2012-02-24,5479.15,5521.4,5405.9,5429.3,364660634,19.02,,,,
2012-02-27,5448.1,5449.8,5268.15,5281.2,235318961,18.5,,,,
2012-02-28,5310.5,5391.1,5306.45,5375.5,208133889,19.05,,,,
2012-02-29,5424.95,5458.8,5352.25,5385.2,226022232,19.09,,,,
2012-03-01,5366,5372.45,5297.5,5339.75,196867905,18.92,,,,
2012-03-02,5369.45,5392.55,5315.05,5359.35,185021526,18.99,,,,
2012-03-03,5360.05,5369.6,5353.4,5359.4,16770991,18.99,,,,
2012-03-05,5342.55,5344.5,5265.7,5280.35,196421155,18.71,,,,
2012-03-06,5266,5382.05,5206.4,5222.4,290396014,18.51,,,,
2012-03-07,5207.05,5243.85,5171.45,5220.45,230726017,18.5,,,,
2012-03-09,5294.1,5342.3,5291.6,5333.55,203005845,18.9,,,,
2012-03-12,5420.1,5421.9,5327.3,5359.55,176668237,18.94,,,,
2012-03-13,5391.05,5438.65,5390.8,5429.5,179965296,19.18,,,,
2012-03-14,5490.55,5499.4,5437.8,5463.9,181714070,19.31,,,,
2012-03-15,5462.5,5462.5,5362.3,5380.5,160257651,19.01,,,,
2012-03-16,5380.35,5445.65,5305,5317.9,267521147,18.79,,,,
2012-03-19,5337.35,5340.7,5238.55,5257.05,179877454,18.58,,,,
2012-03-20,5257.15,5297.35,5233.25,5274.85,181345285,18.64,,,,
2012-03-21,5267.2,5372.35,5256,5364.95,199787985,18.96,,,,
2012-03-22,5361.1,5385.95,5205.65,5228.45,205581062,18.47,,,,
2012-03-23,5255.65,5312,5220,5278.2,172738574,18.65,,,,
2012-03-26,5274.35,5274.95,5174.9,5184.25,169785835,18.32,,,,
2012-03-27,5242.95,5277.95,5184.65,5243.15,208775421,18.53,,,,
2012-03-28,5231.7,5236.55,5169.6,5194.75,145803597,18.36,,,,
2012-03-29,5145.95,5194.3,5135.95,5178.85,242557889,18.3,,,,
2012-03-30,5206.6,5307.1,5203.65,5295.55,164790056,18.71,,,,
2012-04-02,5296.35,5331.55,5278.8,5317.9,134538287,18.79,,,,
2012-04-03,5353.2,5378.75,5344.45,5358.5,152496489,18.93,,,,
2012-04-04,5328.65,5338.4,5305.3,5322.9,122106162,18.81,,,,
2012-04-09,5282.5,5287.9,5228,5234.4,111914936,18.5,,,,
2012-04-10,5254.1,5255.8,5211.85,5243.6,156106794,18.53,,,,
