Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-06-05,,,,55367.55,520793143,26.87,,,,
2024-06-06,,,,57305.67,446990453,27.82,,,,
2024-06-07,,,,58346.89,262969767,28.32,,,,
2024-06-10,,,,58728.54,322102274,28.46,,,,
2024-06-11,,,,59302.53,290407773,28.73,,,,
2024-06-12,,,,59688.27,258918062,28.92,,,,
2024-06-13,,,,60288.43,214723289,29.2,,,,
2024-06-14,,,,61016.84,269347154,29.55,,,,
2024-06-18,,,,61841.22,253287834,29.95,,,,
2024-06-19,,,,60975.79,186853007,29.53,,,,
2024-06-20,,,,61065.64,297386391,29.57,,,,
2024-06-21,,,,61100.68,448766579,29.59,,,,
2024-06-24,,,,61414.68,344804801,29.74,,,,
2024-06-25,,,,61147.59,200883163,29.61,,,,
2024-06-26,,,,60916.89,191833465,29.5,,,,
2024-06-27,,,,60783.89,255014800,29.44,,,,
2024-06-28,,,,60871.18,502828238,30.68,,,,
2024-07-01,,,,61305.37,362638177,30.9,,,,
2024-07-02,,,,61102.99,382748477,30.8,,,,
2024-07-03,,,,62188.19,606701001,31.35,,,,
2024-07-04,,,,63002.93,741322319,31.76,,,,
2024-07-05,,,,63738.92,990792989,32.13,,,,
2024-07-08,,,,63998.95,994767093,32.26,,,,
2024-07-09,,,,64103.86,855267507,32.31,,,,
2024-07-10,,,,63991.74,946307914,32.26,,,,
2024-07-11,,,,64437.29,789077644,32.48,,,,
2024-07-12,,,,64074.75,909489911,32.3,,,,
2024-07-15,,,,64329.21,650864476,32.42,,,,
2024-07-16,,,,63894.93,540914070,32.2,,,,
2024-07-18,,,,62287.75,637900491,31.39,,,,
2024-07-19,,,,60624.28,641511621,30.5,,,,
2024-07-22,,,,61426.93,500554844,30.9,,,,
2024-07-23,,,,60601.63,1164904682,30.49,,,,
2024-07-24,,,,60855.37,550202530,30.59,,,,
2024-07-25,,,,60838.4,545207078,30.58,,,,
2024-07-26,,,,61969.39,551883054,31.15,,,,
2024-07-29,,,,63342.32,741339537,31.78,,,,
2024-07-30,,,,63446.31,484329106,31.3,,,,
2024-07-31,,,,63883.19,473686094,31.51,,,,
2024-08-01,,,,63280.61,490890062,31.13,,,,
2024-08-02,,,,62221.94,468088624,31.17,,,,
2024-08-05,,,,59481.5,834592636,29.64,,,,
2024-08-06,,,,58700.47,504697241,29.25,,,,
2024-08-07,,,,60667.13,446902670,30.24,,,,
2024-08-08,,,,60426.76,534844027,29.81,,,,
2024-08-09,,,,61551.5,524965628,30.44,,,,
2024-08-12,,,,61612.35,578546245,30.34,,,,
2024-08-13,,,,60999.08,561300704,29.93,,,,
2024-08-14,,,,60724.63,548383443,29.73,,,,
2024-08-16,,,,61986.81,469473132,30.12,,,,
2024-08-19,,,,62158.43,419644077,30.2,,,,
2024-08-20,,,,62312.01,333410583,30.27,,,,
2024-08-21,,,,62426.87,291643489,30.33,,,,
2024-08-22,,,,62514.18,281603819,30.37,,,,
2024-08-23,,,,62679.73,324808272,30.45,,,,
2024-08-26,,,,62695.55,320514046,30.46,,,,
2024-08-27,,,,62820.86,277017651,30.52,,,,
2024-08-28,,,,63088.08,590044771,30.65,,,,
2024-08-29,,,,62868.04,418712846,30.54,,,,
2024-08-30,,,,63156.93,666705966,30.68,,,,
2024-09-02,,,,62915.24,386135986,30.57,,,,
2024-09-03,,,,63057.2,254549565,30.64,,,,
2024-09-04,,,,62797.25,261834949,30.51,,,,
2024-09-05,,,,62389.19,270708355,30.31,,,,
2024-09-06,,,,61362.34,293228283,29.81,,,,
2024-09-09,,,,60894.34,357642549,29.59,,,,
2024-09-10,,,,61407.04,391393514,29.83,,,,
2024-09-11,,,,61192.28,335086640,29.73,,,,
2024-09-12,,,,62112.6,433913606,30.18,,,,
2024-09-13,,,,62240.42,337325220,30.24,,,,
2024-09-16,,,,62814.02,291378330,30.52,,,,
2024-09-17,,,,62555.69,309053273,30.39,,,,
2024-09-18,,,,62497.19,345426892,30.36,,,,
2024-09-19,,,,61516.22,421654801,29.89,,,,
2024-09-20,,,,62942.56,498482032,30.58,,,,
