Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-07-13,,,,8242.72,67355670,23.7,,,,
2017-07-14,,,,8261.65,53874867,23.72,,,,
2017-07-17,,,,8271.43,53779782,23.75,,,,
2017-07-18,,,,8229.94,187262149,23.6,,,,
2017-07-19,,,,8297.85,84650203,23.79,,,,
2017-07-20,,,,8229.94,48737305,23.6,,,,
2017-07-21,,,,8249.55,44790229,23.66,,,,
2017-07-24,,,,8271.6,49422926,23.72,,,,
2017-07-25,,,,8278.28,43335690,23.74,,,,
2017-07-26,,,,8281.8,36733957,23.75,,,,
2017-07-27,,,,8295.27,74277646,23.81,,,,
2017-07-28,,,,8308.96,55806028,23.85,,,,
2017-07-31,,,,8334.69,57629708,23.92,,,,
2017-08-01,,,,8337.63,58219467,24.01,,,,
2017-08-02,,,,8307.57,41162688,23.87,,,,
2017-08-03,,,,8338.29,64533225,24.12,,,,
2017-08-04,,,,8439.43,76408741,24.43,,,,
2017-08-07,,,,8516.62,51157240,24.66,,,,
2017-08-08,,,,8415.23,46587857,24.37,,,,
2017-08-09,,,,8327.86,43936182,24.1,,,,
2017-08-10,,,,8201.18,45341898,23.74,,,,
2017-08-11,,,,8189.84,52913269,23.71,,,,
2017-08-14,,,,8307.81,36046344,24.05,,,,
2017-08-16,,,,8364.24,56485821,24.22,,,,
2017-08-17,,,,8332.88,44900673,24.13,,,,
2017-08-18,,,,8357.22,50803661,24.36,,,,
2017-08-21,,,,8272.32,41847648,24.73,,,,
2017-08-22,,,,8283.79,47300298,25.42,,,,
2017-08-23,,,,8318.63,33186572,25.52,,,,
2017-08-24,,,,8353.48,42373894,25.63,,,,
2017-08-28,,,,8401.71,43841210,25.78,,,,
2017-08-29,,,,8342.72,38827204,25.6,,,,
2017-08-30,,,,8437.62,41571697,25.89,,,,
2017-08-31,,,,8481.35,60828039,26.02,,,,
2017-09-01,,,,8518.95,38156890,26.7,,,,
2017-09-04,,,,8457.4,35992080,26.51,,,,
2017-09-05,,,,8500.16,29717567,26.68,,,,
2017-09-06,,,,8468.58,36721348,26.58,,,,
2017-09-07,,,,8481.81,44616764,26.62,,,,
2017-09-08,,,,8479.74,44014062,26.61,,,,
2017-09-11,,,,8533.13,37568523,26.78,,,,
2017-09-12,,,,8621.17,40701575,27.06,,,,
2017-09-13,,,,8538.25,58686399,26.8,,,,
2017-09-14,,,,8564.37,56343160,26.88,,,,
2017-09-15,,,,8568.15,51640438,26.89,,,,
2017-09-18,,,,8631.81,38088630,27.09,,,,
2017-09-19,,,,8668.92,62442743,27.21,,,,
2017-09-20,,,,8626.98,36132217,27.08,,,,
2017-09-21,,,,8627.69,43384484,27.08,,,,
2017-09-22,,,,8469.88,43529935,26.58,,,,
2017-09-25,,,,8385.99,54394651,26.32,,,,
2017-09-26,,,,8340.74,50368347,26.18,,,,
2017-09-27,,,,8227.24,51254034,25.82,,,,
2017-09-28,,,,8241.49,90755588,25.87,,,,
2017-09-29,,,,8287.28,52562959,25.99,,,,
2017-10-03,,,,8331.57,41838860,26.13,,,,
2017-10-04,,,,8376.92,49248454,26.27,,,,
2017-10-05,,,,8354.1,37290907,26.2,,,,
2017-10-06,,,,8419.26,38739571,26.41,,,,
2017-10-09,,,,8391.63,38185407,26.32,,,,
2017-10-10,,,,8455.69,43342047,26.52,,,,
2017-10-11,,,,8471.01,54132084,26.57,,,,
2017-10-12,,,,8555.96,38155588,26.84,,,,
2017-10-13,,,,8574.41,43935194,26.89,,,,
2017-10-16,,,,8598.93,41077327,26.93,,,,
2017-10-17,,,,8633.15,39644836,27.04,,,,
2017-10-18,,,,8650.62,38934630,27.11,,,,
2017-10-19,,,,8604.22,4131698,26.96,,,,
2017-10-23,,,,8602.54,46000347,26.95,,,,
2017-10-24,,,,8597.05,42551870,26.94,,,,
2017-10-25,,,,8561.35,49384152,26.81,,,,
2017-10-26,,,,8618.56,81177116,26.98,,,,
2017-10-27,,,,8583.84,77553723,26.85,,,,
2017-10-30,,,,8638.33,45797889,27.02,,,,
2017-10-31,,,,8618.98,48193440,26.63,,,,
2017-11-01,,,,8654.41,43122688,26.76,,,,
2017-11-02,,,,8677.78,48691949,26.83,,,,
2017-11-03,,,,8683.63,54202452,26.85,,,,
2017-11-06,,,,8677.03,39883370,26.83,,,,
2017-11-07,,,,8617.88,57650548,26.84,,,,
2017-11-08,,,,8610.58,42592494,26.82,,,,
2017-11-09,,,,8656.94,61391668,26.9,,,,
2017-11-10,,,,8661.31,52660891,26.86,,,,
2017-11-13,,,,8622.32,38744563,26.14,,,,
2017-11-14,,,,8578.09,38003691,26.01,,,,
2017-11-15,,,,8561.2,57390075,25.96,,,,
2017-11-16,,,,8573.75,42816945,25.96,,,,
2017-11-17,,,,8638.8,43780478,26.21,,,,
2017-11-20,,,,8688.56,39138559,26.37,,,,
2017-11-21,,,,8720.96,49860021,26.21,,,,
2017-11-22,,,,8699.46,38719402,26.24,,,,
2017-11-23,,,,8703.36,34302529,26.24,,,,
2017-11-24,,,,8756.86,36677346,26.41,,,,
2017-11-27,,,,8747.74,33511539,26.38,,,,
2017-11-28,,,,8804.85,70428822,27.55,,,,
2017-11-29,,,,8802.48,37242909,27.54,,,,
2017-11-30,,,,8761.3,91595916,27.42,,,,
2017-12-01,,,,8700.91,36658471,27.23,,,,
2017-12-04,,,,8784.0,65290089,27.49,,,,
2017-12-05,,,,8752.8,54574566,27.39,,,,
2017-12-06,,,,8709.91,39917009,27.25,,,,
2017-12-07,,,,8830.03,37995816,27.63,,,,
2017-12-08,,,,8953.55,55649504,28.02,,,,
2017-12-11,,,,8989.47,45161039,28.13,,,,
2017-12-12,,,,8895.16,42765787,27.83,,,,
2017-12-13,,,,8864.02,44095414,27.74,,,,
2017-12-14,,,,8886.12,45308473,27.81,,,,
2017-12-15,,,,8962.55,62546552,28.05,,,,
2017-12-18,,,,9016.68,51053417,28.21,,,,
2017-12-19,,,,9124.15,49107209,28.55,,,,
2017-12-20,,,,9115.8,44776023,28.53,,,,
