Date,PCT_50,PCT_200,NET_NEW_HIGHS,AD_LINE,MCCLELLAN_OSC,NET_ADV_RATIO,FAST_EMA,SLOW_EMA
2024-02-01,74.12,86.25,190,-0.1829787234042553,,-18.29787234042553,,
2024-02-02,73.3,85.52,406,-0.1691415759854155,,1.3837147418839808,,
2024-02-05,68.69,84.56,632,-0.3688262843406441,,-19.968470835522858,,
2024-02-06,71.47,85.08,818,-0.09900190967326783,,26.982437466737625,,
2024-02-07,73.46,85.53,1046,0.027593835007583223,,12.659574468085106,,
2024-02-08,70.17,84.4,1239,-0.2395695497715546,,-26.71633847791378,,
2024-02-09,65.26,83.15,1344,-0.6963925774901047,,-45.68230277185501,,
2024-02-12,53.51,79.29,1418,-1.3997066227294526,,-70.33140452393476,,
2024-02-13,51.62,79.13,1439,-1.516035331374063,,-11.632870864461047,,
2024-02-14,55.39,80.51,1479,-1.1951398089860035,,32.08955223880597,,
2024-02-15,57.58,81.23,1571,-0.9348949979162855,,26.02448110697179,,
2024-02-16,59.16,82.11,1680,-0.7782620730361576,,15.663292488012786,,
2024-02-19,62.15,81.94,1812,-0.5726105816703805,,20.565149136577705,,
2024-02-20,61.29,82.08,1918,-0.6524402783175333,,-7.982969664715274,,
2024-02-21,57.83,81.57,2028,-1.0689296400196608,,-41.648936170212764,,
2024-02-22,57.78,81.93,2103,-1.023184959168597,,4.574468085106383,,
2024-02-23,58.49,82.33,2222,-1.0056130741845715,,1.7571884984025559,,
2024-02-26,57.22,81.4,2337,-1.2493369235569565,,-24.372384937238493,,
2024-02-27,54.32,80.39,2441,-1.562634795897382,,-31.329787234042556,-8.2243936626178,
2024-02-28,46.27,77.63,2496,-2.2842952535876426,,-72.16604576902608,-14.618558873258628,
2024-02-29,46.39,77.02,2525,-2.3076995089067918,,-2.3404255319148937,-13.390745539124255,
2024-03-01,49.44,78.4,2596,-2.005533634633152,,30.216587427363972,-9.030012242475433,
2024-03-02,51.86,79.35,2661,-1.5707973533332054,,43.47362812999467,-3.7796482052284226,
2024-03-04,47.94,77.97,2747,-1.9916023716290758,,-42.080501829587035,-7.609733567664284,
2024-03-05,43.56,76.03,2809,-2.411486031068526,,-41.988365943945006,-11.047596805292358,
2024-03-06,35.49,72.39,2823,-3.101760872506158,,-69.02748414376322,-16.845585539139442,
2024-03-07,37.09,73.02,2854,-2.91686916621984,,18.4891706286318,-13.31210992236232,
2024-03-11,29.6,68.98,2856,-3.6233965813634432,,-70.65274151436032,-19.04617308156212,
2024-03-12,21.62,64.25,2814,-4.391489555478604,,-76.80929741151611,-24.82248551455752,
2024-03-13,12.01,51.25,2709,-5.331331244132958,,-93.98416886543536,-31.738653849645306,
2024-03-14,16.54,57.75,2644,-4.7270109069359085,,60.43203371970495,-22.521585092710282,
2024-03-15,16.54,57.19,2637,-4.831331244132958,,-10.432033719704952,-21.31262995540975,
2024-03-18,17.43,58.71,2633,-4.852718828900825,,-2.138758476786646,-19.39524280754744,
2024-03-19,14.35,56.02,2625,-5.366417459037811,,-51.369863013698634,-22.59270482816256,
2024-03-20,14.62,56.22,2595,-5.552304768147868,,-18.588730911005793,-22.192307436446885,
2024-03-21,18.41,58.39,2600,-4.956728148874567,,59.55766192733017,-14.017310500069181,
2024-03-22,20.23,59.88,2621,-4.60917680606256,,34.75513428120063,-9.1400660219422,
2024-03-26,20.69,57.77,2629,-4.997516212621644,,-38.833940655908386,-12.109453485338818,
2024-03-27,21.91,56.6,2595,-5.180577759176089,0.5544091134867379,-18.306154655444505,-12.729123602349388,-13.283532715836126
2024-03-28,24.16,56.38,2564,-5.228472496018194,0.9236711537193436,-4.789473684210526,-11.935158610535503,-12.858829764254846
2024-04-01,32.96,64.78,2607,-4.460122678214966,5.315994615576287,76.83498178032275,-3.0581445714496773,-8.374139187025964
2024-04-02,37.92,67.67,2675,-3.900898359556685,7.999223706661361,55.922431865828095,2.8399130722780996,-5.159310634383261
2024-04-03,45.72,71.27,2748,-3.4129528668942113,9.896994331026757,48.79454926624738,7.435376691675028,-2.4616176393517284
2024-04-04,50.11,72.85,2827,-3.1969067211155013,10.110606508785217,21.604614577871,8.852300480294625,-1.258306028490592
2024-04-05,55.12,74.31,2901,-2.9794014800253548,10.249987364781958,21.750524109014673,10.14212284316663,-0.10786452161532867
2024-04-08,53.13,74.04,2853,-4.065512098589826,3.5705220658222405,-16.796671866874675,-1.72784278278402,-5.29836484860626
2024-04-09,50.85,73.34,2936,-4.350475295224947,2.053572118494724,-28.496319663512093,-4.404690470856828,-6.458262589351552
2024-04-10,53.86,73.76,3003,-4.378370032067052,2.0316543519023025,-2.7894736842105265,-4.243168792192198,-6.2748231440945
2024-04-12,49.55,72.3,3067,-4.768370032067052,0.19223007391679747,-39.0,-7.718851912972978,-7.9110819868897755
2024-04-15,39.79,66.58,3099,-5.4820629781251435,-2.999903564420851,-71.36929460580913,-14.083896182256595,-11.083992617835744
2024-04-16,43.05,67.86,3150,-5.2331156097040905,-0.9009767349817164,24.894736842105264,-10.18603287982041,-9.285056144838693
2024-04-18,43.18,67.98,3230,-5.345628753762976,-0.9091919745360393,-11.251314405888538,-10.292561032427223,-9.383369057891183
2024-04-19,42.93,67.28,3279,-5.505376520447159,-1.1478431576087917,-15.974776668418286,-10.860782596026331,-9.71293943841754
2024-04-22,52.07,69.53,3363,-5.048100497661038,1.73896824400357,45.72760227861212,-5.201944108562485,-6.940912352566055
2024-04-23,57.45,71.93,3454,-4.811106278007859,3.097088135497412,23.699421965317917,-2.311807501174445,-5.408895636671857
2024-04-24,62.41,73.11,3561,-4.597982918427807,4.123440901681525,21.31233595800525,0.05060684474352417,-4.072834056938001
2024-04-25,64.45,73.0,3654,-4.5402401362755755,4.203452425121427,5.774278215223097,0.6229739817914816,-3.580478443329946
2024-04-26,64.49,73.06,3750,-4.578075133648145,3.772956117912934,-3.783499737256963,0.18232660988663707,-3.590629508026297
2024-04-29,66.37,73.26,3844,-4.5982510260433855,3.4743125195467526,-2.0175892395240558,-0.0376649750544322,-3.511977494601185
2024-04-30,66.35,74.08,3929,-4.717473715119016,2.7063666969439852,-11.922268907563026,-1.2261253683052917,-3.932492065249277
2024-05-02,65.8,73.77,4020,-4.780957450690894,2.314935952652659,-6.348373557187828,-1.7383501871935456,-4.053286139846205
2024-05-03,62.71,71.86,4107,-5.138962700034726,0.49608041766054267,-35.800524934383205,-5.144567661912512,-5.6406480795730545
2024-05-06,55.69,68.76,4185,-5.661960116055399,-1.8864823002302193,-52.299741602067186,-9.86008505592798,-7.973602755697761
2024-05-07,49.34,65.34,4227,-6.291356441514717,-4.446135559718897,-62.93963254593176,-15.168039804928359,-10.721904245209462
2024-05-08,51.35,65.61,4258,-6.162222583247,-2.8197575001479542,12.913385826771654,-12.35989724175836,-9.540139741610405
2024-05-09,39.6,59.88,4286,-6.935857037028512,-5.9289470319602025,-77.36344537815127,-18.860252055397652,-12.93130502343745
2024-05-10,43.12,61.24,4292,-6.705694136345381,-3.538672574176653,23.01629006831319,-14.672597843026569,-11.133925268849916
2024-05-13,42.33,60.87,4308,-6.890898481922204,-3.5541307812006107,-18.520434557682357,-15.057381514492148,-11.503250733291537
2024-05-14,50.61,64.12,4360,-6.3465415265416265,0.09822961048691603,54.435695538057736,-8.108073809237158,-8.206303419724074
2024-05-15,53.66,65.78,4426,-6.175412917617742,1.3543648650438493,17.11286089238845,-5.585980339074598,-6.940345204118447
2024-05-16,55.51,65.61,4499,-6.085218895593621,2.016915748865995,9.019402202412167,-4.125442084925921,-6.142357833791916
2024-05-17,60.5,66.91,4583,-5.776356808545902,3.666652500907586,30.886208704771896,-0.6242770059561393,-4.290929506863725
2024-05-18,66.31,68.17,4656,-5.3683441569908155,5.554596983935449,40.801265155508695,3.518277210190344,-2.036319773745104
2024-05-21,63.11,65.9,4766,-5.645346740970144,3.715940354332518,-27.700258397932814,0.3964236493780282,-3.3195167049544896
2024-05-22,63.75,66.72,4855,-5.7093551355136904,3.190280181429257,-6.400839454354669,-0.2833026609952416,-3.4735828424244986
2024-05-23,62.2,66.52,4924,-5.841499865456008,2.3842076556959673,-13.214472994231777,-1.5764196943188953,-3.9606273500148625
2024-05-24,59.88,65.37,4991,-6.111174576893574,0.9954447004392852,-26.967471143756562,-4.115524839262662,-5.110969539701947
2024-05-27,55.27,64.01,5057,-6.409057901622536,-0.3379679162643576,-29.788332472896233,-6.6828056026260185,-6.344837686361661
2024-05-28,49.89,61.95,5086,-6.8779725486193755,-2.3315024753040348,-46.89146469968388,-10.703671512331805,-8.37216903702777
2024-05-29,46.63,61.14,5112,-7.040248628703675,-2.4911241763437406,-16.227608008429925,-11.256065161941619,-8.764940985597878
2024-05-30,41.07,57.6,5128,-7.621693014576105,-4.710986638791624,-58.144438587243016,-15.94490250447176,-11.233915865680135
2024-05-31,40.15,57.12,5139,-7.723325452701435,-4.186354372255101,-10.163243812532912,-15.366736635277874,-11.180382263022773
2024-06-03,44.36,59.44,5231,-7.438126896744756,-1.7827070420950601,28.51985559566787,-10.9780774121833,-9.19537037008824
2024-06-04,21.77,45.51,2757,-3.8975453799210795,4.639662354905906,-91.81438998957248,-0.05352844010728042,-4.693190795013186
2024-06-04,21.77,45.51,5087,-8.35627079664048,-5.735387318859768,-91.81438998957248,-19.06170866992222,-13.32632135106245
2024-06-05,30.92,51.37,5085,-7.780749963307147,-1.6179283527540047,57.552083333333336,-11.400329469596665,-9.78240111684266
2024-06-06,39.69,57.09,5133,-7.0661666299738135,2.605901205030194,71.45833333333333,-3.114463189303666,-5.72036439433386
2024-06-07,49.11,62.53,5205,-6.393941512725247,5.992454890486702,67.22251172485669,3.91923430211237,-2.073220588374332
2024-06-10,55.71,64.5,5320,-6.018555312931221,7.373801429826882,37.538619979402675,7.2811728698414,-0.09262855998548125
2024-06-11,61.0,66.96,5431,-5.741616218709461,8.025748185952265,27.69390942217595,9.322446525074856,1.2966983391225904
2024-06-12,64.9,68.91,5548,-5.407415281697488,8.829343135460775,33.420093701197295,11.7322112426871,2.9028681072263254
2024-06-13,68.42,71.1,5674,-5.21376614062513,8.769511121915173,19.364914107235816,12.495481529141973,3.7259704072267996
2024-06-14,70.24,72.45,5823,-5.062409146888178,8.463046458047076,15.1356993736952,12.759503313597296,4.29645685555022
2024-06-18,71.71,72.61,5987,-4.987112602277554,7.778401692517979,7.529654461062403,12.236518428343807,4.458116735825828
2024-06-19,70.35,71.61,6118,-5.2614072731239485,5.406182332242914,-27.429467084639498,8.269919877045476,2.8637375448025617
2024-06-20,74.45,74.34,6243,-4.9937648267047114,6.06058945387468,26.76424464192368,10.119352353533298,4.058762899658618
2024-06-21,73.31,74.18,6369,-5.118306951246836,4.628881740793659,-12.454212454212454,7.861995872758723,3.233114131965064
2024-06-24,73.31,74.84,6500,-5.155382131473407,3.818961958983188,-3.7075180226570548,6.705044483217145,2.8860825242339576
2024-06-25,73.65,74.48,6621,-5.339290177450418,2.3732214069881135,-18.39080459770115,4.195459575125316,1.8222381681372022
2024-06-26,72.97,75.11,6722,-5.44708714239024,1.5058025331833322,-10.779696493982208,2.697943968214564,1.1921414350312318
2024-06-27,68.07,72.75,6823,-5.858267915639979,-0.7602886581352568,-41.11807732497388,-1.683658161104281,-0.9233695029690241
2024-06-28,69.15,72.79,6902,-5.814334861246673,-0.41842604520675286,4.393305439330543,-1.0759618010607985,-0.6575357558540457
2024-07-01,73.52,75.57,7028,-5.381429976927906,1.8208177687004548,43.290488431876604,3.3606832222329417,1.539865453532487
2024-07-02,74.6,76.59,7178,-5.427905172750361,1.3293667400415132,-4.647519582245431,2.559862941785104,1.2304962017435908
2024-07-03,76.07,77.44,7312,-5.227800679542419,2.135427721989889,20.010449320794148,4.304921579686008,2.1694938576961187
2024-07-04,77.97,77.94,7452,-5.20952391714033,1.904794068916539,1.8276762402088773,4.057197045738295,2.1524029768217563
2024-07-05,79.07,78.7,7604,-5.088897285286544,2.209827672452727,12.06266318537859,4.857743659702325,2.647915987249598
2024-07-08,77.35,77.92,7748,-5.330683732925148,0.6475168676519565,-24.17864476386037,1.9541048173460558,1.3065879496940993
2024-07-09,78.76,78.69,7872,-5.365114112671983,0.34528388466787874,-3.4430379746835444,1.4143905381430957,1.069106653475217
2024-07-10,76.46,76.75,7963,-5.8018550033602425,-1.926404289913966,-43.674089068825914,-3.0944574225538055,-1.1680531326398396
2024-07-11,77.5,77.85,8057,-5.614702752475063,-0.7395999498646795,18.715225088517958,-0.9134891714466291,-0.17388922158194964
2024-07-12,76.75,76.93,8159,-5.874824209964942,-1.9575527812485067,-26.01214574898785,-3.4233548292007514,-1.4658020479522447
2024-07-15,76.82,76.94,8251,-5.894685183152628,-1.7878122666644751,-1.9860973187686197,-3.2796290781575386,-1.4918168114930634
2024-07-16,77.39,77.93,8338,-5.9331467216141665,-1.7267478917310666,-3.8461538461538463,-3.336281554957169,-1.6095336632261026
2024-07-18,73.73,75.75,8409,-6.38732393680404,-3.7444824953460216,-45.41772151898734,-7.544425551360186,-3.7999430560141647
2024-07-19,62.52,71.13,8441,-7.127202479314161,-6.879429805561318,-73.98785425101214,-14.188768421325381,-7.309338615764063
2024-07-22,64.22,70.29,8467,-6.989801685663368,-5.139015925963016,13.740079365079366,-11.395883642684907,-6.256867716721891
2024-07-23,61.68,70.71,8506,-7.174105483131722,-5.233789934872391,-18.430379746835442,-12.09933325309996,-6.865543318227569
2024-07-24,69.48,74.28,8598,-6.603472571739317,-1.5139692185117486,57.063291139240505,-5.183070813865914,-3.6691015953541655
2024-07-25,69.39,74.43,8709,-6.584728904059479,-1.0853988784936766,1.8743667679837892,-4.477327055680944,-3.3919281771872676
2024-07-26,75.14,76.69,8851,-6.217640296464542,1.0281804561897376,36.708860759493675,-0.3587082741634826,-1.3868887303532202
2024-07-29,76.24,77.94,9003,-6.067838709162955,1.7437147835963613,14.98015873015873,1.1751784262687386,-0.5685363573276228
2024-07-30,78.87,79.85,9147,-5.8830285825806765,2.521820756014499,18.48101265822785,2.9057618494646498,0.3839410934501509
2024-07-31,79.72,80.34,9290,-5.904789716183916,2.141635957724347,-2.1761133603238867,2.397574328485796,0.25593837076144904
2024-08-01,75.1,78.45,9416,-6.296946578929014,-0.04610887031165056,-39.21568627450981,-1.7637517318137643,-1.7176428615021138
2024-08-02,71.74,77.99,9507,-6.564183619693987,-1.291801044030242,-26.723704076497235,-4.259746966282112,-2.96794592225187
2024-08-05,49.77,68.54,9533,-7.432369942786157,-5.355155258975477,-86.81863230921705,-12.515635500575605,-7.160480241600128
2024-08-06,46.51,68.44,9569,-7.73816339366777,-5.990582975405985,-30.579345088161208,-14.322006459334167,-8.331423483928182
2024-08-07,57.53,72.47,9616,-7.069482628310267,-1.6315496768814652,66.86807653575025,-6.202998159825725,-4.57144848294426
2024-08-08,54.7,72.0,9697,-7.262022950890912,-2.202523897949332,-19.254032258064516,-7.508101569649605,-5.305577671700273
2024-08-09,57.83,72.26,9776,-7.073010854116718,-0.771932140698417,18.901209677419356,-4.867170444942708,-4.095238304244291
2024-08-12,55.19,71.83,9857,-7.162614814512757,-0.937996813396559,-8.96039603960396,-5.276493004408834,-4.338496191012275
2024-08-13,49.53,69.57,9922,-7.696585624779491,-3.2971263738399577,-53.397081026673376,-10.088551806635287,-6.79142543279533
2024-08-14,45.35,67.66,9934,-8.06730997085595,-4.481464195198489,-37.072434607645874,-12.786940086736346,-8.305475891537856
2024-08-16,48.16,68.93,9982,-7.68370011665786,-1.6999947101113007,38.360985419808955,-7.672147536081816,-5.972152825970515
2024-08-19,53.1,71.23,10083,-7.258798930887109,0.8931183310521096,42.490118577075094,-2.655920924766125,-3.5490392558182347
2024-08-20,55.22,73.79,10183,-7.041210991188617,2.0691981592302726,21.758793969849247,-0.21444943530458804,-2.2836475945348607
2024-08-21,58.24,75.43,10322,-6.706873641791026,3.6481474700219403,33.433734939759034,3.1503690022017743,-0.497778467820166
2024-08-22,62.17,76.68,10465,-6.487998139782994,4.402599156450916,21.88755020080321,5.0240871220619185,0.6214879656110031
2024-08-23,61.15,76.67,10601,-6.5537942221536625,3.602284430671934,-6.5796082370668,3.863717586149047,0.2614331554771129
2024-08-26,61.69,76.62,10752,-6.557750700887589,3.209201936161251,-0.3956478733926805,3.4377810401948743,0.2285791040336232
2024-08-27,63.58,78.23,10891,-6.467665144772844,3.3272805679171746,9.008555611474584,3.994858497322846,0.6675779294056713
2024-08-28,62.97,78.17,11010,-6.685471985819121,1.8721394094237853,-21.780684104627767,1.4173042371277846,-0.4548351722960007
2024-08-29,59.53,76.14,11084,-7.126115848998196,-0.4955520887991658,-44.06438631790744,-3.1308648183757386,-2.635312729576573
2024-08-30,61.26,76.82,11183,-7.0014300772536,0.3091976152825553,12.468577174459528,-1.5709206190922123,-1.8801182343747675
2024-09-02,57.72,75.56,11290,-7.243540530902515,-0.8382685027715384,-24.21104536489152,-3.8349330936721433,-2.996664590900605
2024-09-03,57.94,75.6,11391,-7.2440412820292055,-0.6071121785828049,-0.050075112669003496,-3.4564472955718295,-2.8493351169890246
2024-09-04,57.08,75.39,11492,-7.320579551163773,-0.7866255505479098,-7.653826913456728,-3.8761852573603197,-3.08955970681241
2024-09-05,59.29,76.1,11627,-7.169504013394889,0.20189267869192373,15.107553776888444,-1.9778113539354434,-2.179704032627367
2024-09-06,53.77,73.54,11723,-7.668253388082232,-2.203058260982619,-49.874937468734366,-6.767523965415336,-4.564465704432717
2024-09-09,50.88,72.59,11793,-7.984690395956248,-3.3367141890328016,-31.643700787401574,-9.25514164761396,-5.918427458581159
2024-09-10,55.49,75.08,11887,-7.592083003348855,-0.7440844341635016,39.26073926073926,-4.40355355677864,-3.659469122615138
2024-09-11,52.33,72.75,11978,-7.97719788846374,-2.4122769601908196,-38.51148851148851,-7.814347052249627,-5.402070092058807
2024-09-12,55.28,73.46,12074,-7.764230307416359,-0.8361078543318889,21.296758104738153,-4.903236536550848,-4.067128682218959
2024-09-13,58.88,75.46,12197,-7.525826317391421,0.6428793153369363,23.840399002493765,-2.0288729826463867,-2.671752297983323
2024-09-16,59.19,75.99,12317,-7.586700151461131,0.40780982835385693,-6.0873834069710355,-2.434724025078852,-2.842533853432709
2024-09-17,58.33,75.37,12413,-7.858341942505907,-0.8490534170337742,-27.164179104477608,-4.907669533018728,-4.058616115984954
2024-09-18,55.75,74.0,12492,-8.259137566573536,-2.5651953898692907,-40.079562406762804,-8.424858820393137,-5.859663430523846
2024-09-19,49.37,70.74,12543,-8.78526997075472,-4.646354700262094,-52.613240418118465,-12.84369698016567,-8.197342279903577
2024-09-20,52.38,72.76,12611,-8.492732657321884,-2.3091655490765266,29.253731343283583,-8.633954147820745,-6.3247885987442185
2024-09-23,54.48,73.63,12693,-8.297037941079223,-0.783535983018357,19.569471624266143,-5.813611570612057,-5.0300755875937
