Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2023-06-13,563,66,8.53,331,
2023-06-14,803,78,10.29,682,
2023-06-15,775,166,4.67,599,
2023-06-16,2188,100,21.88,2059,
2023-06-19,1779,362,4.91,443,
2023-06-20,5661,444,12.75,2649,
2023-06-21,1532,196,7.82,1016,
2023-06-22,3666,179,20.48,2560,
2023-06-23,1285,120,10.71,965,
2023-06-26,5622,143,39.31,2690,
2023-06-27,7142,751,9.51,2873,
2023-06-28,2651,278,9.54,1909,
2023-06-30,3602,326,11.05,2825,
2023-07-03,33254,307,108.32,16783,
2023-07-04,4779,568,8.41,2578,
2023-07-05,8450,254,33.27,7579,
2023-07-06,11550,233,49.57,851,
2023-07-07,6346,218,29.11,450,
2023-07-10,3135,188,16.68,1615,
2023-07-11,24852,454,54.74,16397,
2023-07-12,3556,123,28.91,3059,
2023-07-13,58551,301,194.52,30226,
2023-07-14,11614,142,81.79,11079,
2023-07-17,6951,507,13.71,4742,
2023-07-18,73118,796,91.86,43251,
2023-07-19,60410,713,84.73,24665,
2023-07-20,19775,542,36.49,12615,
2023-07-21,87771,799,109.85,50780,
2023-07-24,59892,363,164.99,32916,
2023-07-25,30405,530,57.37,22801,
2023-07-26,34933,387,90.27,23613,
2023-07-27,41357,177,233.66,7188,
2023-07-28,27938,233,119.91,8563,
2023-07-31,118563,751,157.87,65393,
2023-08-01,94960,894,106.22,42034,
2023-08-02,39362,736,53.48,23732,
2023-08-03,81744,879,93.0,46497
2023-08-04,13064,358,36.49,7310
