Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2023-02-24,773,21,36.81,545,
2023-02-27,563,39,14.44,530,
2023-02-28,855,32,26.72,826,
2023-03-01,20901,111,188.3,9815,
2023-03-02,3291,46,71.54,1813,
2023-03-03,751,19,39.53,738,
2023-03-06,5294,67,79.01,5191,
2023-03-08,1197,57,21.0,970,
2023-03-09,2500,34,73.53,2189,
2023-03-10,1680,53,31.7,863,
2023-03-13,907,55,16.49,868,
2023-03-14,1707,49,34.84,1587,
2023-03-15,280,5,56.0,280,
2023-03-16,963,20,48.15,948,
2023-03-17,184,12,15.33,161,
2023-03-20,3200,80,40.0,3148,
2023-03-21,2541,27,94.11,2250,
2023-03-22,98,9,10.89,48,
2023-03-23,604,34,17.76,570,
2023-03-24,2761,77,35.86,2719,
2023-03-27,3604,61,59.08,2682,
2023-03-28,1932,68,28.41,1262,
2023-03-29,3969,43,92.3,3475,
2023-03-31,14307,70,204.39,10719,
2023-04-03,183,10,18.3,86,
2023-04-05,3209,28,114.61,3194,
2023-04-06,12977,43,301.79,9104,
2023-04-10,3673,60,61.22,1669,
2023-04-11,9795,56,174.91,8405,
2023-04-12,4023,78,51.58,3320,
2023-04-13,988,19,52.0,761,
2023-04-17,701,44,15.93,621,
2023-04-18,926,24,38.58,908,
2023-04-19,601,19,31.63,594,
2023-04-20,792,21,37.71,785,
2023-04-21,1285,44,29.2,1034,
2023-04-24,440,8,55.0,437,
2023-04-25,156,15,10.4,140,
2023-04-26,243,14,17.36,225,
2023-04-27,1670,25,66.8,1669,
2023-04-28,3743,55,68.05,3020,
2023-05-02,2733,75,36.44,1917,
2023-05-03,1983,26,76.27,1522,
2023-05-04,3271,36,90.86,2952,
2023-05-05,3833,73,52.51,2062,
2023-05-08,4284,29,147.72,4039,
2023-05-09,1826,24,76.08,1453,
2023-05-10,1337,16,83.56,1313,
2023-05-11,9983,55,181.51,6624,
2023-05-12,2111,50,42.22,1399,
2023-05-15,3359,34,98.79,2680,
2023-05-16,9394,44,213.5,7376,
2023-05-17,1428,54,26.44,822,
2023-05-18,2648,19,139.37,2606,
2023-05-19,11024,56,196.86,10343,
2023-05-22,1126,21,53.62,838,
2023-05-23,213,10,21.3,106,
2023-05-24,1033,14,73.79,721,
2023-05-25,750,19,39.47,694,
2023-05-26,6161,41,150.27,5066,
2023-05-29,5768,64,90.12,5293,
2023-05-30,95,12,7.92,42,
2023-05-31,7163,70,102.33,7140,
2023-06-01,3141,63,49.86,1624,
2023-06-02,6778,34,199.35,4306,
2023-06-05,8950,51,175.49,8420,
2023-06-06,775,19,40.79,618,
2023-06-07,5834,45,129.64,5813,
2023-06-08,3219,66,48.77,2736,
2023-06-09,1786,49,36.45,1386,
2023-06-12,2028,41,49.46,1491,
2023-06-13,1436,59,24.34,847,
2023-06-14,1493,62,24.08,1359,
2023-06-15,2133,62,34.4,1501,
2023-06-16,1014,49,20.69,933,
2023-06-19,4461,66,67.59,3914,
2023-06-20,2701,51,52.96,2019,
2023-06-21,9170,82,111.83,8741,
2023-06-22,2654,59,44.98,2619,
2023-06-23,3392,81,41.88,2407,
2023-06-26,3232,58,55.72,2552,
2023-06-27,4162,74,56.24,3620,
2023-06-28,20257,230,88.07,8044,
2023-06-30,7537,103,73.17,4682,
2023-07-03,29584,125,236.67,2771,
2023-07-04,2641,70,37.73,2130,
2023-07-05,2918,37,78.86,1917,
2023-07-06,2347,59,39.78,1319,
2023-07-07,5835,101,57.77,4563,
2023-07-10,1241,54,22.98,885,
2023-07-11,1292,46,28.09,797,
2023-07-12,3924,48,81.75,3615,
2023-07-13,1655,96,17.24,1145,
2023-07-14,1724,49,35.18,1170,
2023-07-17,2451,60,40.85,1487,
2023-07-18,4546,77,59.04,2766,
2023-07-19,27140,341,79.59,23978,
2023-07-20,4954,138,35.9,3092,
2023-07-21,2637,63,41.86,2006,
2023-07-24,1554,52,29.88,1059,
2023-07-25,3866,57,67.82,3141,
2023-07-26,1629,39,41.77,1323,
2023-07-27,4730,68,69.56,3422,
2023-07-28,1046,52,20.12,690,
2023-07-31,3349,82,40.84,2794,
2023-08-01,2805,66,42.5,2180,
2023-08-02,10251,154,66.56,4208,
2023-08-03,4066,75,54.21,3067
2023-08-04,10095,72,140.21,8813
2023-08-07,2701,80,33.76,1708
2023-08-08,1795,58,30.95,1154
2023-08-09,2783,51,54.57,2163
2023-08-10,3510,71,49.44,2427
2023-08-11,2837,63,45.03,2560
2023-08-14,5285,85,62.18,3426
2023-08-16,2912,71,41.01,2121
2023-08-17,3127,54,57.91,2379
2023-08-18,11204,27,414.96,10944
