Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-09-23,67866,2414,28.11,39945,
2022-09-26,37815,2274,16.63,19531,
2022-09-27,24409,2185,11.17,14347,
2022-09-28,16409,1762,9.31,6775,
2022-09-29,18085,975,18.55,11513,
2022-09-30,24168,900,26.85,17937,
2022-10-03,15398,1009,15.26,10209,
2022-10-04,16259,1061,15.32,9909,
2022-10-06,14498,991,14.63,9055,
2022-10-07,8439,543,15.54,6506,
2022-10-10,13430,982,13.68,8509,
2022-10-11,27971,2060,13.58,17454,
2022-10-12,15213,1182,12.87,8876,
2022-10-13,12900,806,16.0,8850,
2022-10-14,20708,1402,14.77,13519,
2022-10-17,63869,3695,17.29,35120,
2022-10-18,74538,3523,21.16,41928,
2022-10-19,43938,2491,17.64,28502,
2022-10-20,31747,2624,12.1,19540,
2022-10-21,50791,2945,17.25,29511,
2022-10-24,28089,1929,14.56,16078,
2022-10-25,15074,1504,10.02,8572,
2022-10-27,43202,2575,16.78,26844,
2022-10-28,110143,4908,22.44,70066,
2022-10-31,63184,4626,13.66,38386,
2022-11-01,56752,5322,10.66,23720,
2022-11-02,48553,5134,9.46,12507,
2022-11-03,54777,6466,8.47,15958,
2022-11-04,54100,4535,11.93,34135,
2022-11-07,29786,3067,9.71,18872,
2022-11-09,36297,3402,10.67,24134,
2022-11-10,19622,1837,10.68,10808,
2022-11-11,40516,2764,14.66,26971,
2022-11-14,12833,1101,11.66,8132,
2022-11-15,12833,1101,11.66,8132,
2022-11-16,170778,8716,19.59,87115,
2022-11-17,15462,1769,8.74,7959,
2022-11-18,15127,1347,11.23,9828,
2022-11-21,22723,1990,11.42,14915,
2022-11-22,15909,1726,9.22,9912,
2022-11-23,12501,1096,11.41,10064,
2022-11-24,22097,1374,16.08,17071,
2022-11-25,17723,1616,10.97,10924,
2022-11-28,54706,4497,12.16,15638,
2022-11-29,8905,1453,6.13,4706,
2022-11-30,25443,1699,14.98,13851,
2022-12-01,32595,3155,10.33,19528,
2022-12-02,14606,2311,6.32,9476,
2022-12-05,21626,1913,11.3,12013,
2022-12-06,14035,1281,10.96,9987,
2022-12-07,20395,2163,9.43,11146,
2022-12-08,7295,698,10.45,4513,
2022-12-09,17876,1156,15.46,13667,
2022-12-12,30502,1878,16.24,16248,
2022-12-13,11605,934,12.43,7662,
2022-12-14,9034,723,12.5,6530,
2022-12-15,12471,757,16.47,7565,
2022-12-16,27358,725,37.74,21442,
2022-12-19,11936,878,13.59,7908,
2022-12-20,10908,716,15.23,7840,
2022-12-21,24036,1143,21.03,17010,
2022-12-22,31877,1424,22.39,22092,
2022-12-23,27450,2480,11.07,15092,
2022-12-26,21577,1639,13.16,11368,
2022-12-27,13317,1722,7.73,6083,
2022-12-28,8323,1079,7.71,4688,
2022-12-29,8771,533,16.46,5718,
2022-12-30,7425,938,7.92,3909,
2023-01-02,46292,2328,19.88,30014,
2023-01-03,32553,2488,13.08,19150,
2023-01-04,31757,1532,20.73,19903,
2023-01-05,14777,1282,11.53,8443,
2023-01-06,7201,710,10.14,4448,
2023-01-09,10617,771,13.77,8089,
2023-01-10,5508,438,12.58,3664,
2023-01-11,3707,242,15.32,2771,
2023-01-12,11095,527,21.05,7652,
2023-01-13,42840,1657,25.85,24827,
2023-01-16,187867,8515,22.06,56195,
2023-01-17,32722,2108,15.52,18774,
2023-01-18,17197,1313,13.1,10473,
2023-01-19,21571,1336,16.15,14012,
2023-01-20,19571,1703,11.49,12222,
2023-01-23,12228,1124,10.88,6976,
2023-01-24,11583,1467,7.9,5443,
2023-01-25,19016,1465,12.98,13167,
2023-01-27,21378,1945,10.99,13344,
2023-01-30,15683,1476,10.63,9320,
2023-01-31,13676,1255,10.9,9616,
2023-02-01,16754,1085,15.44,12443,
2023-02-02,19343,1404,13.78,14239,
2023-02-03,35245,1925,18.31,21534,
2023-02-06,11323,1436,7.89,4952,
2023-02-07,13884,1673,8.3,6632,
2023-02-08,12578,921,13.66,8201,
2023-02-09,15694,1508,10.41,8014,
2023-02-10,12692,1142,11.11,7035,
2023-02-13,9042,1149,7.87,4285,
2023-02-14,5284,789,6.7,3192,
2023-02-15,19934,1020,19.54,11648,
2023-02-16,10046,718,13.99,7345,
2023-02-17,12544,910,13.78,8007,
2023-02-20,46741,3295,14.19,25309,
2023-02-21,22322,1412,15.81,15720,
2023-02-22,19488,1384,14.08,12146,
2023-02-23,4337,603,7.19,2317,
2023-02-24,17222,2381,7.23,9056,
2023-02-27,16443,1779,9.24,9215,
2023-02-28,10949,913,11.99,7562,
2023-03-01,22369,1512,14.79,13684,
2023-03-02,10613,778,13.64,5989,
2023-03-03,9844,958,10.28,4281,
2023-03-06,17222,1460,11.8,9752,
2023-03-08,12471,930,13.41,7522,
2023-03-09,41311,2884,14.32,25624,
2023-03-10,34827,2316,15.04,19226,
2023-03-13,33832,2499,13.54,14892,
2023-03-14,22221,2234,9.95,13335,
2023-03-15,20885,2577,8.1,11612,
2023-03-16,17667,1949,9.06,9910,
2023-03-17,16456,1564,10.52,10822,
2023-03-20,17192,1883,9.13,9957,
2023-03-21,39514,2769,14.27,12256,
2023-03-22,43566,4149,10.5,15620,
2023-03-23,7760,1029,7.54,3879,
2023-03-24,15667,1142,13.72,9394,
2023-03-27,10749,1055,10.19,6572,
2023-03-28,13707,982,13.96,8264,
2023-03-29,7417,851,8.72,3766,
2023-03-31,18983,1728,10.99,11850,
2023-04-03,14564,1312,11.1,8010,
2023-04-05,56128,3457,16.24,35941,
2023-04-06,187134,12164,15.38,75350,
2023-04-10,144638,10241,14.12,57532,
2023-04-11,42469,3793,11.2,20420,
2023-04-12,22378,2298,9.74,12585,
2023-04-13,21070,2261,9.32,12510,
2023-04-17,52397,4244,12.35,27899,
2023-04-18,826397,25079,32.95,90927,
2023-04-19,731981,32114,22.79,82425,
2023-04-20,156030,9579,16.29,41210,
2023-04-21,110196,6230,17.69,26787,
2023-04-24,460306,19249,23.91,108954,
2023-04-25,136589,7973,17.13,33207,
2023-04-26,53740,3245,16.56,28201,
2023-04-27,41630,2970,14.02,22719,
2023-04-28,29175,1986,14.69,15125,
2023-05-02,70273,4053,17.34,41697,
2023-05-03,41562,2672,15.55,23485,
2023-05-04,32998,2167,15.23,18737,
2023-05-05,242743,17175,14.13,82458,
2023-05-08,104467,9624,10.85,52491,
2023-05-09,41719,4748,8.79,20669,
2023-05-10,58820,5641,10.43,20104,
2023-05-11,33817,3837,8.81,20972,
2023-05-12,50938,5628,9.05,19694,
2023-05-15,136333,10802,12.62,58733,
2023-05-16,89437,9094,9.83,41195,
2023-05-17,241857,15665,15.44,62797,
2023-05-18,184857,12102,15.27,58704,
2023-05-19,330995,17785,18.61,79403,
2023-05-22,270384,22123,12.22,89207,
2023-05-23,194713,17074,11.4,84550,
2023-05-24,50996,4331,11.77,28504,
2023-05-25,47186,5260,8.97,23309,
2023-05-26,64819,6715,9.65,33627,
2023-05-29,80546,8052,10.0,50556,
2023-05-30,161723,15282,10.58,89553,
2023-05-31,77473,7327,10.57,39465,
2023-06-01,118591,9023,13.14,52827,
2023-06-02,64533,7295,8.85,28086,
2023-06-05,58984,5825,10.13,30274,
2023-06-06,24122,3509,6.87,13288,
2023-06-07,25047,3658,6.85,14973,
2023-06-08,41382,5648,7.33,20986,
2023-06-09,33737,3260,10.35,19068,
2023-06-12,29387,3543,8.29,17284,
2023-06-13,137219,13689,10.02,71850,
2023-06-14,62972,6428,9.8,39559,
2023-06-15,32086,4003,8.02,19732,
2023-06-16,23808,3538,6.73,13929,
2023-06-19,35873,5385,6.66,23268,
2023-06-20,26655,4126,6.46,16315,
2023-06-21,40612,6468,6.28,21981,
2023-06-22,35064,5379,6.52,22580,
2023-06-23,54309,8663,6.27,31043,
2023-06-26,25340,5168,4.9,14861,
2023-06-27,72707,9951,7.31,28459,
2023-06-28,33746,4216,8.0,19063,
2023-06-30,34557,4480,7.71,24686,
2023-07-03,21669,2152,10.07,14646,
2023-07-04,20008,2346,8.53,10371,
2023-07-05,17783,2219,8.01,8816,
2023-07-06,14417,1827,7.89,8646,
2023-07-07,14508,2536,5.72,8066,
2023-07-10,279116,25507,10.94,96449,
2023-07-11,166756,18491,9.02,55781,
2023-07-12,83736,10878,7.7,39556,
2023-07-13,66512,10045,6.62,36469,
2023-07-14,89212,13426,6.64,41164,
2023-07-17,188794,18161,10.4,79028,
2023-07-18,67505,9831,6.87,34364,
2023-07-19,42083,5794,7.26,18639,
2023-07-20,35365,4459,7.93,18110,
2023-07-21,36396,6656,5.47,17743,
2023-07-24,33358,5732,5.82,19297,
2023-07-25,65225,10835,6.02,33345,
2023-07-26,49128,8659,5.67,20816,
2023-07-27,23071,4575,5.04,11138,
2023-07-28,44068,7164,6.15,18986,
2023-07-31,29834,3940,7.57,17763,
2023-08-01,23496,3078,7.63,14607,
2023-08-02,35143,5372,6.54,18579,
2023-08-03,23184,4646,4.99,12508
2023-08-04,36011,5912,6.09,17632
2023-08-07,24087,4201,5.73,11243
2023-08-08,14536,2910,5.0,8274
2023-08-09,65446,11537,5.67,32266
2023-08-10,28344,4192,6.76,15454
2023-08-11,32170,3430,9.38,21160
2023-08-14,79297,12290,6.45,32423
2023-08-16,72235,10978,6.58,37238
2023-08-17,157892,16935,9.32,54787
2023-08-18,171212,26271,6.52,53866
2023-08-21,53881,9351,5.76,25880
